time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error
time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, CODEBOOK_SIZE, UTILITY_CONSTRAINT, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, count_failed, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error
2019-08-15 16:56:59.417261, 128, 0.7, 24, 32, 9, 1, 0.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.4147450898186733, 37.19201669242558, 0, 32.351839645254074, 1.0075118182633538, 1.6963125681941849, 7.0527889759375535, 2560.8772366753174, 2571.0748831597543, 1.849713772621045
2019-08-15 17:00:32.123967, 128, 0.7, 24, 32, 9, 1, 1.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.8747524352509757, -9.60300879963845, 0, 32.3293684084372, 0.9980995480530173, 1.6917367341634162, 1.1881962159662651, 374.8228162659568, 374.6869582486829, 1.8168093278104027
2019-08-15 17:04:23.433794, 128, 0.7, 24, 32, 9, 1, 2.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.6698117974844635, -14.212473885070189, 0, 32.434234180249284, 0.9975235128502454, 1.6788424598017047, 0.5452564655966776, 142.81766376552577, 141.93469923975942, 1.866830300964765
2019-08-15 17:08:14.770128, 128, 0.7, 24, 32, 9, 1, 3.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.919032840845966, -15.22843660425303, 0, 32.37955417066156, 0.970425538660737, 1.6701484705106617, 0.3900864981001546, 87.35458005390439, 87.28783825323005, 1.824087667785235
2019-08-15 17:11:06.976258, 128, 0.7, 24, 32, 9, 1, 4.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.49887876846123, -14.970719323199885, 0, 32.589285714285715, 0.9657030299068978, 1.651518174081661, 0.27312546484359734, 56.43983799854103, 56.020649544762335, 1.8195812485019176
2019-08-15 17:14:21.843861, 128, 0.7, 24, 32, 9, 1, 5.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.6380111867340346, -15.312166873884017, 0, 33.26117569511026, 0.9426156068239516, 1.6305888397493915, 0.23122056883013833, 36.905473036320686, 36.93367921577733, 1.8062338019834612
2019-08-15 17:17:54.126328, 128, 0.7, 24, 32, 9, 1, 6.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.457385198518001, -15.490340221692326, 0, 33.84767497603068, 0.9280954000904296, 1.616474486029696, 0.21796313120649977, 31.208376562747148, 31.07988478397333, 1.8197118625659157
2019-08-15 17:21:43.185045, 128, 0.7, 24, 32, 9, 1, 7.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.8034924066382025, -15.057363334710779, 0, 34.14579338446788, 0.9135962673849757, 1.6053949880674072, 0.2032322694163725, 27.08478021850509, 26.908568751010822, 1.784306088207095
2019-08-15 17:25:29.928370, 128, 0.7, 24, 32, 9, 1, 8.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.3742630977293295, -15.139840030151376, 0, 35.87532957813998, 0.881744047867597, 1.5606469489608752, 0.17435911815476035, 17.83134779879448, 17.526724931903868, 1.8098835053631352
2019-08-15 17:30:11.998332, 128, 0.7, 24, 32, 9, 1, 9.5, 1e-05, 7.154, 1.0, 0.001, 20, 0.15, 2, 1, 1, 1, 1, 1, 2, 4, 3, 3, dp_privatizer, 2.611050849607259, -15.241580427374055, 0, 36.13075263662512, 0.870942078562167, 1.5493435327574907, 0.16757957855753494, 16.157875850975625, 15.725642733698157, 1.7802888864753117
