time_of_run, BATCH_SIZE, TRAIN_SPLIT, NUM_FEATURES, NUM_UNITS, NUM_USERS, NUM_EPOCHS, EPSILON, DELTA, NORMCLIP, SIGMA, RHO, w_map, w_distortion, w_distance, w_density, w_ID, w_loc, MAP_PARAMS, NUM_GRIDS, AD_LAYERS, GAP_LAYERS, PRIVATIZER, train_a_loss, train_p_loss, u_estimate_acc, loc_estimate_error, test_a_loss, signal_map_error, distortion_error, loc_error, density_error,
2019-05-15 12:47:29.027616,128,0.7,24,32,9,2,0.01,0.00001,7,0,0,1,1,1,1,1,1,2,4,3,4,  gap_privatizer,0.1486045475,-0.1453191507,96.875,0.0018928406,0.1322214333,0.5278532798,4.2127600536,10.4865040362,6.2763671875,
2019-05-15 12:54:03.726290,128,0.7,24,32,9,2,0.01,0.00001,7,0,0,1,1,1,1,1,1,2,4,3,5,  gap_privatizer,0.1404360373,-0.1361525499,94.921875,0.002431419,0.1449221786,0.5289636542,5.7752855177,9.2045235936,6.6716308594,
2019-05-15 12:59:42.790218,128,0.7,24,32,9,2,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,5,  gap_privatizer,0.1459075899,2.0397773829,99.21875,0.0250897729,0.0278992769,0.0146879569,0.0641356774,0.0081809218,1.2409667969,
2019-05-16 13:40:28.983273,128,0.7,24,32,9,3,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,5,  gap_privatizer,0.0370536448,0.0789000159,98.828125,0.0077003431,0.0420377909,0.006016471,0.0910752034,0.006883402,0.0307617188,
2019-05-16 13:52:49.970010,128,0.7,24,32,9,3,0.01,0.00001,7,0,0,1,1,1,1,1,1,2,4,3,5,  gap_privatizer,0.0652137365,-0.0645197171,92.578125,0.0012777344,0.1812421463,0.2784390253,2.7005985082,1.7858875902,8.1960449219,
2019-05-16 14:05:39.129867,128,0.7,24,32,9,1,0.01,0.00001,7,0,0,1,1,1,1,1,1,2,4,3,5,  test,0.1150264612,-0.1122566491,96.09375,0.0060995984,0.1871323741,0.5827086499,16.5349673928,34.2938163845,4.5441894531,
2019-05-16 14:10:14.717699,128,0.7,24,32,9,1,0.01,0.00001,7,0,0,1,1,1,1,1,1,2,4,3,5,  test,0.197881015,-0.1950971541,96.484375,0.0027644407,0.1734382237,0.3897380954,2.7867964551,4.0576672208,3.3269042969,
2019-05-16 14:20:02.563464,128,0.7,24,32,9,1,0.01,0.00001,7,0,0,1,1,1,1,1,1,2,4,3,5,  test,2.9454037036,-2.9414153041,1.5625,0.0018654846,2.8992576777,0.8517036259,311.6583589577,143.8376746738,2.9851074219,
2019-05-16 14:32:11.003393,128,0.7,24,32,9,1,0.01,0.00001,7,0,0,1,1,1,1,1,1,2,4,3,5,  test,2.9454037036,-86980190.4563705,3.515625,1401026064943128,91047659.3614419,146.067268603,9.71881816605067E+016,1.83201970503182E+017,3.0241699219,
2019-05-16 14:37:19.156022,128,0.7,24,32,9,1,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,5,  test,2.9454037036,0.6311517574,10.15625,1.091058882,2.2093402927,0.0525358326,0.3026450005,0.2878895895,2.1589355469,
2019-05-16 15:10:05.812649,128,0.7,24,32,9,1,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,5,  test,2.9454037036,16.8964864981,10.9375,1.2076905571,2.2353112755,0.3679841894,1.2584330218,1.6816251858,3.2111816406,
2019-05-16 15:13:21.757039,128,0.7,24,32,9,1,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,5,  test,2.9454037036,0.2034259856,37.109375,0.9820799813,2.1142955531,1.6920532483,2.0839234172,1.7478781423,1.4248046875,
2019-05-16 15:13:40.003330,128,0.7,24,32,9,1,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,5,  test,2.9454037036,0.0456790688,5.859375,1.0048872133,2.2791797239,0.0267211089,2.1218688874,3.6983641883,4.3249511719,
2019-05-16 15:16:20.646594,128,0.7,24,32,9,1,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,3,  test,2.9454037036,0.0278192215,14.0625,1.2367167024,2.2388933935,0.0268974958,1.7651462843,3.3195050748,4.1135253906,
2019-05-16 15:19:07.424189,128,0.7,24,32,9,1,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,3,  test,2.9454037036,0.0190218627,6.640625,1.2028252075,2.2141701005,0.021198508,0.0834926042,0.0510692104,0.4445800781,
2019-05-16 15:31:48.984079,128,0.7,24,32,9,2,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,3,  test,0,1,2,3,4,5,6,7,8,
 2019-05-16 15:36:32.543295,128,0.7,24,32,9,2,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,3,  test,1,2,3,4,5,6,7,8,9,
 2019-05-16 15:41:29.807898,128,0.7,24,32,9,2,0.01,0.00001,7,0,1,1,1,1,1,1,1,2,4,3,3,  test,2,3,4,5,6,7,8,9,10,
 2019-05-16 15:46:51.767638,128,0.7,24,32,9,2,0.01,0.00001,7,0,1,2,1,1,1,1,1,2,4,3,3,  test,3,4,5,6,7,8,9,10,11,
2019-05-16 16:15:23.998462,128,0.7,24,32,9,2,0.01,0.00001,7,0,1,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,0.0222177802,0.1033670427,97.65625,0.0211184054,0.0706364392,0.0023778343,0.0698742744,0.0094325107,0.8723144531,
2019-05-16 16:20:28.743241,128,0.7,24,32,9,2,0.01,0.00001,7,0,0.9,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,0.0434143203,0.0563710189,98.4375,0.0131312194,0.0530125916,0.018005823,0.0640165557,0.0090034146,0.4816894531,
2019-05-16 16:26:20.084625,128,0.7,24,32,9,2,0.01,0.00001,7,0,0,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,0.0929818544,-0.0910520344,96.09375,0.0013602824,0.1071327026,14.4217675783,11.0270351208,8.6199164291,2.7722167969,
2019-05-16 16:33:18.151063,128,0.7,24,32,9,2,0.01,0.00001,7,0,0,2,1,1,0,1,1,2,4,3,3,test,23459111.9348193,-2406870.99441138,7.03125,1496590615.72477,2280586.51078526,18.4235238398,36617375818829.9,46832695043695.2,4.2651367188,
2019-05-16 16:39:05.933363,128,0.7,24,32,9,2,0.01,0.00001,7,0,0.5,2,1,1,0,1,1,2,4,3,3,test,2.5608693326,-0.9327551959,23.828125,0.6055018707,1.9393876152,0.0354356612,0.1714820096,0.015830559,0.0498046875,
2019-05-16 20:23:27.814077,128,0.7,24,32,9,2,0.01,0.00001,7,0,0.5,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,0.0290962689,0.0358124045,98.4375,0.0112294133,0.0751131403,0.010681855,0.1033444205,0.0119487628,0.0620117188,
2019-05-16 20:29:13.498059,128,0.7,24,32,9,5,0.01,0.00001,7,0,0,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,60.3594945352,-42.5729295961,25.78125,31.0985813079,18.9247502098,1140610.80422507,155389081.703806,723034391.704101,2.1870117188,
2019-05-16 20:41:15.204349,128,0.7,24,32,9,1,0.01,0.00001,7,0,0,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,235.7485017103,-55.1056739718,37.5,134.5709782959,25.9604607188,39766.929059138,60066164.4766578,21558506.3570018,2.9638671875,
2019-05-16 20:43:54.065432,128,0.7,24,32,9,1,0.01,0.00001,7,0,1,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,0.388641866,0.2384168196,94.921875,0.1275646493,0.2412474661,0.0067384479,0.0841670158,0.0262887361,0.248046875,
2019-05-16 20:47:03.653157,128,0.7,24,32,9,1,0.01,0.00001,7,0,0.5,2,1,1,0,1,1,2,4,3,3,test,1.5257734457,-0.8052157303,52.34375,0.2060988281,1.3663278734,0.0114865335,0.4100003779,0.2373953038,0.9372558594,
2019-05-16 20:50:51.367978,128,0.7,24,32,9,1,0.01,0.00001,7,0,0.5,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,1.3285031539,-1.5934745183,59.375,0.2347403809,1.1124730315,0.0116274921,0.2620899514,0.2178914061,0.6323242188,
2019-05-16 20:56:26.575518,128,0.7,24,32,9,1,0.01,0.00001,7,0,0.1,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,2.0724085661,-13.5033996242,21.875,0.5182959692,1.7022222645,0.0330876637,0.5543139143,0.5491130754,2.1413574219,
2019-05-16 20:59:18.821011,128,0.7,24,32,9,1,0.01,0.00001,7,0,0,2,1,1,0,1,1,2,4,3,3,  gap_privatizer,1.8360206413,-14.8690978023,42.578125,0.3872329776,1.5196668384,18.0475927851,3016.0995730375,3149.984186562,7.2502441406,
